k,n,xi,q0,replication_factor,row_scale,coordinate,coordinate_type,E_S,E_bar_S,posterior_variance,ratio_S_bar_S,ratio_S_bar_S_log_se,ratio_S_bar_S_lower_95,ratio_S_bar_S_upper_95,ratio_S_posterior_variance,ratio_S_posterior_variance_log_se,ratio_S_posterior_variance_lower_95,ratio_S_posterior_variance_upper_95,acceptance_S,acceptance_bar_S_envelope,maximum_log_envelope_error,coordinate_role,path,simulation_seed
512,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0002352414860828,0.001721910469132,0.1308860012291127,0.1366165606748735,0.0153910293249753,0.1325568695002466,0.1408005840889043,0.0017973005812218,0.0133291408858598,0.0017509539365619,0.0018448739922896,0.7964,0.9521905142780968,-4.9773340316763816e-12,j = 1,k,8172028
512,128,8,8,8,1.3228756555322954,512,prior-scale curvature,0.0002397035177962,0.001782009126338,1.0050904407273895,0.1345130696882956,0.0152790541730075,0.130544533385481,0.1386022489623502,0.0002384895011267,0.013110045243238,0.0002324394126347,0.0002446970653682,0.7964,0.9521905142780968,-4.9773340316763816e-12,j = k,k,8172028
1024,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.0001218708077903,0.0009007792858583,0.1301612941807132,0.1352948604653996,0.0152857160980377,0.1313015445410729,0.1394096263858191,0.0009363060544029,0.0134196563171672,0.0009119998976504,0.000961260006465,0.80054,0.9752101577890036,-6.788158004345228e-13,j = 1,k,8172028
1024,128,8,8,8,1.3228756555322954,1024,prior-scale curvature,0.0001203827361134,0.0009291003169405,0.9992695995609722,0.1295691476135726,0.0157852794788432,0.1256217677666902,0.1336405649416383,0.000120470727986,0.0136447336248425,0.0001172915979352,0.0001237360267656,0.80054,0.9752101577890036,-6.788158004345228e-13,j = k,k,8172028
2048,128,8,8,8,1.3228756555322954,1,large likelihood curvature,6.16555200838269e-05,0.0004790938909353,0.1300667053775299,0.1286919354439151,0.0154970787434448,0.1248417801356621,0.1326608306153898,0.0004740299979527,0.0135621607557659,0.000461595409982,0.0004867995523781,0.80251,0.986845351464972,-8.04208866710481e-13,j = 1,k,8172028
2048,128,8,8,8,1.3228756555322954,2048,prior-scale curvature,6.102865522244148e-05,0.0004725142827037,1.0056575535121728,0.1291572709151526,0.0152121954047332,0.1253631735456718,0.1330661960641316,6.068532475026245e-05,0.0131783417267996,5.9137920540755445e-05,6.22732183744412e-05,0.80251,0.986845351464972,-8.04208866710481e-13,j = k,k,8172028
4096,128,8,8,8,1.3228756555322954,1,large likelihood curvature,3.079901717816697e-05,0.0002420835284548,0.1316073105116341,0.1272247532690398,0.0156349192060065,0.1233851534089283,0.131183836929904,0.0002340220847795,0.0135327031137728,0.0002278964575384,0.0002403123627112,0.80524,0.9934037987761264,-2.3098578168727574e-12,j = 1,k,8172028
4096,128,8,8,8,1.3228756555322954,4096,prior-scale curvature,3.053364436005151e-05,0.0002420212897507,0.999465613010074,0.1261609852236706,0.0153727266665843,0.1224163828183437,0.1300201315066317,3.054996986649109e-05,0.0133308287191045,2.97620852073265e-05,3.135871201033199e-05,0.80524,0.9934037987761264,-2.3098578168727574e-12,j = k,k,8172028
16,128,16,8,8,1.9364916731037085,1,large likelihood curvature,0.0021311837777367,0.0075892392917051,0.0662942534537638,0.2808165213694167,0.0152436835125793,0.2725504916837961,0.2893332467934359,0.0321473380678933,0.0136928823514567,0.0312960408953966,0.033021791743742,0.60144,0.3552145495879511,-2.936254802944127e-11,j = 1,xi,8172030
16,128,16,8,8,1.9364916731037085,16,prior-scale curvature,0.002479529196796,0.0096405692905274,1.001858614799234,0.2571973834815304,0.0183101376194802,0.2481307808952941,0.2665952762130688,0.0024749292566525,0.0158268184772093,0.002399334118485,0.0025529061493537,0.60144,0.3552145495879511,-2.936254802944127e-11,j = k,xi,8172030
16,128,32,8,8,2.7838821814150108,1,large likelihood curvature,0.0011333470751003,0.003961550067639,0.0331420197437028,0.2860867730433064,0.0161159744558092,0.2771912932301015,0.2952677220001667,0.0341966809465699,0.0146441504441819,0.0332291019307141,0.0351924343366197,0.55855,0.2552283528072566,-7.025990523206761e-12,j = 1,xi,8172030
16,128,32,8,8,2.7838821814150108,16,prior-scale curvature,0.0013338694786148,0.0050881851406617,1.002134394071806,0.2621503427529431,0.0188162424490174,0.2526583880051629,0.2719988944284773,0.0013310285391914,0.0162225504011347,0.001289372650078,0.0013740302092144,0.55855,0.2552283528072566,-7.025990523206761e-12,j = k,xi,8172030
16,128,64,8,8,3.968626966596886,1,large likelihood curvature,0.0005735407759767,0.0020063193684928,0.0165761339229421,0.2858671380955516,0.0168524002234728,0.2765789866940825,0.2954672067452824,0.0346003946784556,0.0155097460913455,0.0335644001706369,0.0356683660610217,0.51317,0.1818178512402704,-5.2006063139301137e-11,j = 1,xi,8172030
16,128,64,8,8,3.968626966596886,16,prior-scale curvature,0.0007134875164051,0.0026453099588116,0.9978035842875688,0.2697179262598255,0.0207461740463416,0.2589705100001446,0.280911366108288,0.00071505808121,0.0181901484328122,0.0006900134436333,0.0007410117356719,0.51317,0.1818178512402704,-5.2006063139301137e-11,j = k,xi,8172030
16,128,128,8,8,5.634713834792322,1,large likelihood curvature,0.0002796085958249,0.0010354785206401,0.0082804869185462,0.2700283880848816,0.0178635991033795,0.2607375746206554,0.2796502593759387,0.0337671683531961,0.0164821897460375,0.032693748688529,0.0348758311399497,0.47008,0.1297119486755761,-1.4617508880425203e-10,j = 1,xi,8172030
16,128,128,8,8,5.634713834792322,16,prior-scale curvature,0.000363366774676,0.0013607079654197,1.000041849085435,0.2670424396052603,0.0232421497943237,0.2551503507025494,0.2794887969151303,0.0003633515687451,0.0206407913635454,0.0003489452117293,0.0003783526985662,0.47008,0.1297119486755761,-1.4617508880425203e-10,j = k,xi,8172030
16,128,256,8,8,7.984359711335656,1,large likelihood curvature,0.0001322911210807,0.0005101905047947,0.0041478782852218,0.2592974973808822,0.0179150008784732,0.2503506760854787,0.2685640526292491,0.0318936844294817,0.0166187642914369,0.0308715556833879,0.0329496549159887,0.43281,0.0916744895564421,-5.940387101678782e-12,j = 1,xi,8172030
16,128,256,8,8,7.984359711335656,16,prior-scale curvature,0.0001738966183231,0.0006842358244602,0.9983274578839636,0.2541471991185873,0.0227838669938287,0.243047584204101,0.2657537166285194,0.000174187955014,0.02057298188271,0.0001673038922737,0.0001813552766741,0.43281,0.0916744895564421,-5.940387101678782e-12,j = k,xi,8172030
16,128,512,8,8,11.302654555457314,1,large likelihood curvature,6.156046354548199e-05,0.0002563696255185,0.0021004098188864,0.2401238579686431,0.0186800338155215,0.2314912321697008,0.2490784062330113,0.0293087867862463,0.0174414152132138,0.0283237928325936,0.0303280350890416,0.39695,0.0649713476356926,-3.222424127309914e-10,j = 1,xi,8172030
16,128,512,8,8,11.302654555457314,16,prior-scale curvature,8.488808602114758e-05,0.0003455723539479,1.0018837141421744,0.2456448991111446,0.0242202055085368,0.2342562005904884,0.2575872754156437,8.472848178177137e-05,0.0220308252609268,8.114773596848693e-05,8.846723250334225e-05,0.39695,0.0649713476356926,-3.222424127309914e-10,j = k,xi,8172030
16,128,1024,8,8,15.992185591719476,1,large likelihood curvature,2.9774200863313256e-05,0.0001286767828101,0.0010364442487756,0.2313875138394737,0.0187673079056219,0.2230308116169529,0.2400573318666208,0.0287272575427813,0.0174986339927555,0.0277586940323706,0.0297296164209643,0.3647,0.0461343135952286,-8.797261166948608e-13,j = 1,xi,8172030
16,128,1024,8,8,15.992185591719476,16,prior-scale curvature,3.884412164302969e-05,0.0001725483828,0.9984843526214876,0.2251201721666178,0.0242802229827777,0.2146577976089824,0.2360924805938983,3.890308500182802e-05,0.0222133084009196,3.724566152718407e-05,4.0634263444478e-05,0.3647,0.0461343135952286,-8.797261166948608e-13,j = k,xi,8172030
16,128,2048,8,8,22.62189205172724,1,large likelihood curvature,1.4328305358269372e-05,6.550871238737729e-05,0.0005228154551057,0.2187236603513299,0.0199420497692555,0.2103394576444285,0.2274420602450913,0.0274060478096816,0.0186995553548139,0.0264197697356376,0.0284291446921055,0.33992,0.0323944766121597,-1.1977954534076482e-10,j = 1,xi,8172030
