path,ratio,coordinate_role,estimated_power,r_squared
xi,ratio_S_bar_S,j = 1,-0.06548315905653312,0.9194924812030818
xi,ratio_S_bar_S,j = k,-0.04669003661639284,0.7459596918896652
xi,ratio_S_posterior_variance,j = 1,-0.05408224625187424,0.787727675437839
xi,ratio_S_posterior_variance,j = k,-1.0250052969712298,0.9986012930179511
n,ratio_S_bar_S,j = 1,0.014957391492451162,0.7041216046183296
n,ratio_S_bar_S,j = k,0.012915054154131547,0.6421290012793925
n,ratio_S_posterior_variance,j = 1,0.02445959800193242,0.6644266686069633
n,ratio_S_posterior_variance,j = k,-0.02669372815716349,0.7752478489397036
