k,n,xi,q0,replication_factor,row_scale,coordinate,coordinate_type,E_S,E_bar_S,posterior_variance,ratio_S_bar_S,ratio_S_bar_S_log_se,ratio_S_bar_S_lower_95,ratio_S_bar_S_upper_95,ratio_S_posterior_variance,ratio_S_posterior_variance_log_se,ratio_S_posterior_variance_lower_95,ratio_S_posterior_variance_upper_95,acceptance_S,acceptance_bar_S_envelope,maximum_log_envelope_error,path,coordinate_role
16,128,4096,8,8,31.996093511552314,16,prior-scale curvature,9.037877862556235e-06,4.228920254868145e-05,0.9993541713184262,0.21371596809261623,0.03406783863900253,0.19991152982495436,0.22847364060370842,9.04371855538718e-06,0.03263283656326426,8.483389497046974e-06,9.641057426106e-06,0.31525,0.022972177018082778,-8.560123818618655e-11,xi,j = k
16,16,8,8,1,3.7416573867739413,1,large likelihood curvature,0.004312492426651155,0.01787499279202479,0.17529711343356089,0.2412584148607425,0.01482845319110461,0.23434745198238097,0.2483731837011577,0.024601046430154504,0.013342619065416757,0.023966030849443952,0.025252887691774768,0.66956,0.5334784394688689,-4.9521254607230264e-11,n,j = 1
16,16,8,8,1,3.7416573867739413,16,prior-scale curvature,0.004823641358832497,0.021242418937712833,1.000346041883487,0.22707589813459722,0.016368283377107065,0.2199065050975078,0.23447902776123172,0.00482197275429848,0.013923061704793543,0.004692164212174533,0.0049553724447382996,0.66956,0.5334784394688689,-4.9521254607230264e-11,n,j = k
16,32,8,8,2,2.6457513110645907,1,large likelihood curvature,0.0039973592184477744,0.01567759971604094,0.14981771834454163,0.25497265466969465,0.01509070091822135,0.24754157037575686,0.2626268167024534,0.026681485091468848,0.013554958171811472,0.025981952557081005,0.027399851690217015,0.65477,0.5101233988501819,-1.8857274385674556e-10,n,j = 1
16,32,8,8,2,2.6457513110645907,16,prior-scale curvature,0.004516532587876672,0.019089713000913392,0.9980891713064237,0.23659510164770584,0.016664368305761363,0.2289922330932303,0.24445039627565915,0.0045251794305762255,0.014435671974627222,0.004398938722774207,0.004655042993187257,0.65477,0.5101233988501819,-1.8857274385674556e-10,n,j = k
16,64,8,8,4,1.8708286933869707,1,large likelihood curvature,0.003863524519439514,0.014916561020621163,0.13750907964058642,0.2590090647635525,0.014756034902448577,0.2516253391417635,0.2666094593593162,0.028096504823810688,0.013305340652350865,0.027373262544559244,0.028838856238980637,0.64538,0.49294837351684156,-9.34471220298771e-10,n,j = 1
16,64,8,8,4,1.8708286933869707,16,prior-scale curvature,0.004237876155961236,0.017575380024686355,0.9933709296985228,0.24112571961509405,0.016099401519835983,0.2336358317774513,0.24885571796743686,0.0042661568093677,0.013828560628423114,0.004152079937636483,0.0043833679012631336,0.64538,0.49294837351684156,-9.34471220298771e-10,n,j = k
16,128,8,8,8,1.3228756555322954,1,large likelihood curvature,0.003760456460837692,0.01423282815312834,0.1314157874103856,0.2642100656580473,0.014538812294457618,0.2567873775834522,0.2718473137268727,0.02861495209167317,0.012995692388657838,0.02789528908413846,0.029353181490215763,0.64219,0.48424039630234034,-1.0966256268765278e-11,n,j = 1
16,128,8,8,8,1.3228756555322954,16,prior-scale curvature,0.004216231717750316,0.017398359278536703,1.0012731810493916,0.2423350185066954,0.01614988322188553,0.2347843355400561,0.2501285320400825,0.004210870517206387,0.013828660153543676,0.004098271199389857,0.004326563482503991,0.64219,0.48424039630234034,-1.0966256268765278e-11,n,j = k
16,256,8,8,16,0.9354143466934853,1,large likelihood curvature,0.0036900180260249385,0.013896830451504328,0.12771913695530132,0.26552947011204836,0.01474008678743789,0.2579679269269984,0.2733126568789982,0.0288916611401494,0.01314574476632744,0.028156756734511866,0.02964574689151215,0.6375,0.47972214493365445,-9.487435530228078e-12,n,j = 1
16,256,8,8,16,0.9354143466934853,16,prior-scale curvature,0.004166326406043404,0.01692358767380574,1.0040711108558928,0.24618458487333728,0.01664032859469524,0.23828479013660228,0.25434627948562355,0.004149433601861047,0.014277696170802238,0.004034924373640701,0.004267192547333413,0.6375,0.47972214493365445,-9.487435530228078e-12,n,j = k
16,512,8,8,32,0.6614378277661477,1,large likelihood curvature,0.003676081140055396,0.013862619268127763,0.12742134263296845,0.2651794057784823,0.014666739749313342,0.25766487074471395,0.27291309461699914,0.02884980697970005,0.012981108241410383,0.02812504133747037,0.02959324940287571,0.63801,0.4797313504437515,-4.949423645666136e-12,n,j = 1
16,512,8,8,32,0.6614378277661477,16,prior-scale curvature,0.004136852985650974,0.016562494245983907,0.9967210331660405,0.2497723425114028,0.016283970143948456,0.24192633803846725,0.2578728037197581,0.004150462213595043,0.013908394011746357,0.0040388469892861,0.004265161971269718,0.63801,0.4797313504437515,-4.949423645666136e-12,n,j = k
16,1024,8,8,64,0.46770717334674267,1,large likelihood curvature,0.003667147534943382,0.013850535892066643,0.12587572892971963,0.2647657508359539,0.014682394078948063,0.25725504442495556,0.27249573656533566,0.02913307883993164,0.013026212114063813,0.02839868617746506,0.0298864629648664,0.63896,0.47781048125071673,-3.996898981978943e-12,n,j = 1
16,1024,8,8,64,0.46770717334674267,16,prior-scale curvature,0.004118181728912759,0.016589495193573497,0.997985223651486,0.24824032804254018,0.016419921382018147,0.24037838733906233,0.2563594054724485,0.00412649569484099,0.013977442023732497,0.004014981583194221,0.004241107055339016,0.63896,0.47781048125071673,-3.996898981978943e-12,n,j = k
16,2048,8,8,128,0.33071891388307384,1,large likelihood curvature,0.003638013048213729,0.01368092933795204,0.12534232285734592,0.2659185614036884,0.015068262400769169,0.2581798170497243,0.27388926875483943,0.029024618064197084,0.013427871464477386,0.02827069457035279,0.029798647206070505,0.63861,0.47448909386817745,-3.261249259500507e-11,n,j = 1
16,2048,8,8,128,0.33071891388307384,16,prior-scale curvature,0.0040953745996284065,0.016403402837236236,0.9996958172058085,0.2496661601415828,0.016698664376433733,0.24162701669169187,0.25797277296759236,0.00409662072116616,0.014384094241632506,0.0039827382880425815,0.004213759508997525,0.63861,0.47448909386817745,-3.261249259500507e-11,n,j = k
16,4096,8,8,256,0.23385358667337133,1,large likelihood curvature,0.0036371170595503356,0.013477140970292043,0.12460329005077145,0.2698730441098538,0.014696924549647253,0.2622099894777463,0.27776005056931774,0.02918957483440764,0.013088212056615959,0.028450300521866943,0.029948059014652983,0.63492,0.47743863719915397,-9.956405567336903e-10,n,j = 1
16,4096,8,8,256,0.23385358667337133,16,prior-scale curvature,0.004023288149816176,0.016489394533088356,1.0015819260516279,0.24399247296453877,0.01614383785531346,0.2363929479582152,0.25183630636001086,0.004016933657815179,0.013591833955320943,0.003911335380904491,0.004125382878201834,0.63492,0.47743863719915397,-9.956405567336903e-10,n,j = k
